artist,track,album,tags
Linkin Park,One Step Closer,Hybrid Theory,"nu_metal, rock, linkin_park, alternative_rock, alternative, metal, alternative_metal, hard_rock, rapcore, nu_metal"
Linkin Park,Crawling,Hybrid Theory,"nu_metal, rock, alternative_rock, linkin_park, alternative, metal, alternative_metal, hard_rock, rapcore, nu_metal"
Linkin Park,In the End,Hybrid Theory,"rock, nu_metal, alternative_rock, linkin_park, alternative, metal, rapcore, alternative_metal, hard_rock, in_the_end"
Linkin Park,Papercut,Hybrid Theory,"nu_metal, rock, alternative_rock, alternative, linkin_park, metal, rapcore, alternative_metal, rap_metal, hard_rock"
Linkin Park,Numb,Meteora,"rock, nu_metal, alternative_rock, linkin_park, alternative, metal, hard_rock, 00s, numb, alternative_metal"
Linkin Park,Faint,Meteora,"nu_metal, rock, linkin_park, alternative_rock, alternative, metal, rapcore, hard_rock, american, rap_metal"
Linkin Park,Somewhere I Belong,Meteora,"nu_metal, rock, alternative_rock, linkin_park, alternative, metal, rapcore, alternative_metal, hard_rock, rap_rock"
Linkin Park,Breaking the Habit,Meteora,"rock, alternative_rock, nu_metal, alternative, linkin_park, metal, 00s, kick, electronic, rapcore"
Linkin Park,What I've Done,Minutes to Midnight,"rock, alternative_rock, linkin_park, nu_metal, alternative, metal, 00s, american, soundtrack, nu_metal"
Linkin Park,Bleed It Out,Minutes to Midnight,"rock, alternative_rock, nu_metal, linkin_park, alternative, metal, rapcore, alternative_metal, rap_rock, 00s"
Linkin Park,Shadow of the Day,Minutes to Midnight,"rock, alternative_rock, linkin_park, alternative, nu_metal, 00s, sad, american, metal, pop_rock"
Linkin Park,Leave Out All the Rest,Minutes to Midnight,"rock, alternative_rock, alternative, linkin_park, nu_metal, twilight, soundtrack, twilight_soundtrack, metal, american"
Linkin Park,The Catalyst,A Thousand Suns,
Linkin Park,Waiting for the End,A Thousand Suns,"alternative_rock, rock, alternative, linkin_park, electronic, nu_metal, american, 2010, love_at_first_listen, pop_rock"
Linkin Park,Burning in the Skies,A Thousand Suns,
Linkin Park,Burn It Down,Living Things,"rock, alternative_rock, alternative, electronic_rock, linkin_park, kick, electronic, 2012, pop, nu_metal"
Linkin Park,Lost in the Echo,Living Things,"rock, alternative_rock, alternative, electronic, electronic_rock, kick, linkin_park, synth_rock, nu_metal, rap_rock"
Linkin Park,Castle of Glass,Living Things,"rock, alternative_rock, electronic_rock, alternative, linkin_park, nu_metal, love_at_first_listen, music_choice:_alternative, songs_i_like_to_play_whilst_walking_down_the_street_at_night, stuck_in_my_head"
Linkin Park,The Emptiness Machine,From Zero,"alternative_rock, alternative_metal, nu_metal, hard_rock, my_top_songs, american, metal, alternative, punk_rock, heavy_metal"
Linkin Park,Heavy Is the Crown,From Zero,"nu_metal, alternative_rock, metal, alternative_metal, rap_rock, rap, hardcore, female_vocalists, rapcore, league_of_legends"
Linkin Park,Cut the Bridge,From Zero,"alternative_metal, alternative_rock, nu_metal, metal, grunge, rap, hard_rock, post_grunge, hip_hop, hip_hop"
Linkin Park,Overflow,From Zero,
Linkin Park,Over Each Other,From Zero,"alternative_rock, pop, pop_rock, nu_metal, love, indie, hard_rock, alternative_metal, female_vocals, heavy_metal"
