track_id,name,artist,album,duration_ms,popularity,tags
5673WA8EEUSPx1ir26lhGW,Wake Me Up (feat. Justice),"The Weeknd, Justice",Hurry Up Tomorrow,308575,70,"synthpop, progressive_electronic, synth_funk, darkwave, dance_pop, alternative_rnb, electro_disco, synthwave, the_weeknd, pop"
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,Hurry Up Tomorrow,224136,83,"2025, funk_brasileiro, pop, synthpop, alternative_rnb, funk_mandelao, rnb, amazing, brazilian_funk, the_weeknd"
64JIAZ0bS7WoARYfWQGCoz,I Can't Fucking Sing,The Weeknd,Hurry Up Tomorrow,12288,22,
7DY756WOLyOz2Xnhw4EFiC,São Paulo (feat. Anitta),"The Weeknd, Anitta",Hurry Up Tomorrow,301623,86,"funk, brazilian_funk, funk_mandelao, phonk, brazilian_phonk, funk_automotivo, mega_funk, synthwave, edm, alternative_rnb"
6jDGDtQPC46pFqxph3qdbD,Until We're Skin & Bones,The Weeknd,Hurry Up Tomorrow,22033,24,
5rzI6Jnlhx8DgVgsOLorfW,Baptized In Fear,The Weeknd,Hurry Up Tomorrow,232176,72,"darkwave, synthpop, alternative_rnb, alt_pop, the_weeknd, rnb, instrumental, post_dubstep, hino, 2025"
0sTBOp1hdayTjw6UOyPyi6,Open Hearts,The Weeknd,Hurry Up Tomorrow,234923,73,"synthpop, hi_nrg, synthwave, french_electro, the_weeknd, dance_pop, rnb, king_of_pop, uplifting_trance, dance_pop"
4Msr8L0gHGDsLSBlk7pSPU,Opening Night,The Weeknd,Hurry Up Tomorrow,96024,65,"chillwave, alternative_rnb, trip_hop, trap_soul, the_weeknd, king_of_pop, rnb, psychedelic_soul, glitch_pop, sound_effects"
2gyHr9WqZeMtzJOpWGuGo6,"Reflections Laughing (feat. Travis Scott, Florence + The Machine)","The Weeknd, Travis Scott, Florence + The Machine",Hurry Up Tomorrow,291192,70,"chopped_and_screwed, progressive_electronic, trap, psychedelic_folk, alternative_rnb, art_pop, spoken_word, alt_pop, the_weeknd, king_of_pop"
637oNhilCI9UlkWkUW4Grt,Enjoy The Show (feat. Future),"The Weeknd, Future",Hurry Up Tomorrow,301428,67,"neo_soul, progressive_electronic, alternative_rnb, chipmunk_soul, future, king_of_pop, trip_hop, the_weeknd, trapsoul, trap_soul"
0FolPJnYMo71Z7qasTuoJT,Given Up On Me,The Weeknd,Hurry Up Tomorrow,354781,68,"wave, lounge, alternative_rnb, cloud_rap, chipmunk_soul, future, trap_soul, the_weeknd, king_of_pop, rnb"
0bcZ7xN9IcjSNxLerzR2yl,I Can't Wait To Get There,The Weeknd,Hurry Up Tomorrow,188921,66,"smooth_soul, funk, neo_soul, synthwave, the_weeknd, madonna, soul, 2025, alt_pop, king_of_pop"
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",Hurry Up Tomorrow,256000,92,"pop_rap, trap, plugg, cloud_rap, alternative_rnb, wave, hip_hop, new_jazz, synthwave, king_of_pop"
2v0AG62ZHtD3I4YmTb3WYM,Niagara Falls,The Weeknd,Hurry Up Tomorrow,277274,71,"rnb, progressive_electronic, alternative_rnb, chipmunk_soul, perfect, king_of_pop, amazing, caca, furry, new_romantic"
7rVmzyFA7f4rNGl9onF21E,Take Me Back To LA,The Weeknd,Hurry Up Tomorrow,253734,68,"synthpop, new_romantic, synthwave, alternative_rnb, chillsynth, the_weeknd, electropop, canada, new_wave, electronic"
4sWQbsLLH2NEbO79DSZCL9,Big Sleep (feat. Giorgio Moroder),"The Weeknd, Giorgio Moroder",Hurry Up Tomorrow,225312,63,
0K3w6WNawZlv6Izmsrye8o,Give Me Mercy,The Weeknd,Hurry Up Tomorrow,216431,63,
6i5fDaCzwxRrZtuvvcqoIf,Drive,The Weeknd,Hurry Up Tomorrow,188645,64,
5ZDKPFRZC6QlJpf8bCIXTs,The Abyss (feat. Lana Del Rey),"The Weeknd, Lana Del Rey",Hurry Up Tomorrow,282873,75,"alt_pop, progressive_electronic, neoclassical_darkwave, alternative_rnb, art_pop, king_of_pop, rnb, lana_del_rey, trap_soul, the_weeknd"
717s9KFmHhyy5t3xkStS56,Red Terror,The Weeknd,Hurry Up Tomorrow,231860,63,
6n6GfXu4i22rdsmRKe2eIn,Without a Warning,The Weeknd,Hurry Up Tomorrow,297525,66,"alternative_rnb, trap, synthwave, the_weeknd, king_of_pop, rnb, darkwave, psychedelic_soul, 2025"
4TDPlp7OSOjuDU3l7PCM04,Hurry Up Tomorrow,The Weeknd,Hurry Up Tomorrow,291486,64,
