track_id,name,artist,album,duration_ms,popularity,tags
6TRHryAoFYMV5FgAASwIa9,Shuuen no Kane,Ariabl'eyeS,Ruisou Automata,311172,24,
7AeBIxSXZZ6Ny6aO7ihdgD,イノセント,"*Luna, ねんね",イノセント,261204,24,
1MqhxsE62Uhlq1VO8y74DA,24-Dimensional Non-Euclidean Deep Blue Starfall Vertigo,Camellia,Chimera Dragons,182000,27,
7uxKM0QlsKAhvkUuKKOB1e,Kikai No Tsubasa (feat. KASANE TETO),"Camellia, Kasane Teto",Chimera Dragons,510000,32,
4nIPDmIj7CH5trhiDE050j,Arcadia,Ariabl'eyeS,Best of Aria [2011-2016] [Disc1],322200,12,
2ELH043ADdoDMbXX9cztoz,空奏列車,MARY,彼はきっと魔法を使う。,250000,41,
67cBDFmA9MRiSo9u8nqQZ4,I Wanna,静香 (CV.長谷川育美),I Wanna,235266,33,
7B5WGryCUfoiRcMMQyZADt,うたかたのせかいで (feat. nayuta),"DJ Raisei, Setca., nayuta",CHUNITHM SUN ORIGINAL SOUND TRACK,162445,22,
4KjCDFjCxM7wi8FCbFY7Ux,Per Aspera Ad Astra - Long Version,xi,Storm and Impulse,262217,16,
1MU9JbGVg9AMCa7FqfB6ot,Find the blue,いとうかなこ,ChaosAttractor,311840,31,
32JhiDVk9SzLbPtdHbCqcB,VIOLET LINE,Roselia,VIOLET LINE,290733,33,
4BRvD5QdauTo8EuUvYchu3,A Line in the Sand,Linkin Park,The Hunting Party,395066,51,
5SKmYaEXNrDy2YdWd4XYEq,はやぶさ,Xenon-P,ANTHEMS -Xenon-P Classics-,426225,15,
