track_id,name,artist,album,duration_ms,popularity,tags
5VYbLzAplnqPaGNpcf8qhZ,Hit the Floor,Linkin Park,Meteora (Bonus Edition),164213,61,"nu_metal, rock, alternative_rock, alternative, linkin_park, metal, kick, rapcore, hard_rock, american"
6UzeOH4bRPzKTo2wCXMZmC,By Myself,Linkin Park,Hybrid Theory (Bonus Edition),189800,70,"nu_metal, rock, alternative_rock, alternative, linkin_park, metal, nu_metal, rapcore, rap_metal, american"
5JHNg1hxZFT7TDEphhM4wj,Waiting for the End,Linkin Park,A Thousand Suns,231680,71,"alternative_rock, rock, alternative, linkin_park, electronic, nu_metal, american, 2010, love_at_first_listen, pop_rock"
388kF2viiv8i9aEWIThyGT,Easier to Run,Linkin Park,Meteora (Bonus Edition),204173,58,"nu_metal, rock, alternative_rock, linkin_park, alternative, metal, alternative_metal, rapcore, nu_metal, crossover"
7kxM3UJwN6rHAW5kwdlAHK,Forgotten,Linkin Park,Hybrid Theory (Bonus Edition),194426,69,"nu_metal, rock, alternative_rock, alternative, linkin_park, metal, rapcore, alternative_metal, rap_metal, american"
3FQCJI2t5LTbsRPfYVBSVB,Battle Symphony,Linkin Park,One More Light,216281,64,
6L5QMBrydoaapTDMQ0Anui,Guilty All the Same (feat. Rakim),"Linkin Park, Rakim",The Hunting Party,355120,59,
0B8oGftAYDT9pgJvtsHNg7,She Couldn't,Linkin Park,Hybrid Theory (20th Anniversary Edition),305847,47,
6OocN63GLU7NF0wHdewhID,Invisible,Linkin Park,One More Light,214346,55,
69ZEgPX0hxWXJIqkTlYz41,Iridescent,Linkin Park,A Thousand Suns,296560,66,
5ZIcLKQxzyI3nPnivwuylV,No More Sorrow,Linkin Park,Minutes to Midnight (Deluxe Edition),221764,48,"rock, nu_metal, alternative_rock, linkin_park, alternative, metal, hard_rock, alternative_metal, epic, american"
34isqXjbTstbYwl2MfdzDq,Sorry for Now,Linkin Park,One More Light,203653,54,
650OeHTLxZAQmb4aEbGmaA,Good Goodbye (feat. Pusha T and Stormzy),"Linkin Park, Pusha T, Stormzy",One More Light,211413,60,
1EU3VuKGZOvd1HTkxLPUXK,Nobody's Listening,Linkin Park,Meteora (Bonus Edition),178866,61,"nu_metal, rock, alternative_rock, linkin_park, alternative, metal, rapcore, hip_hop, nu_metal, rap"
3BnBKNItMng824sLx0pUfy,A LIGHT THAT NEVER COMES,"Linkin Park, Steve Aoki",RECHARGED,229439,60,
7dvd3b2oz7AFgXrPBIIYxR,Dirt Off Your Shoulder / Lying From You,"JAY-Z, Linkin Park",Collision Course,244693,57,
6c0I7CfL9ziGZN8yYkLppP,Sharp Edges,Linkin Park,One More Light,178200,58,
3fY3mY4ER7KIuoz4yTvq9G,My December - B-Side Rarities,Linkin Park,Hybrid Theory (20th Anniversary Edition),261053,40,
1dYw8HTRJnFpeEeMtXj99a,ROADS UNTRAVELED,Linkin Park,LIVING THINGS,229933,69,
3rpnfXSECgapxeGeRgUYqy,Cure for the Itch,Linkin Park,Hybrid Theory (Bonus Edition),157200,60,
3aYBjxTMvrEOP0A0UXg9ER,Final Masquerade,Linkin Park,The Hunting Party,217613,69,
3PvwlVjMxuAqN8rJc84zPg,Hands Held High,Linkin Park,Minutes to Midnight (Deluxe Edition),233194,43,
5KNJ2qBD92lNfdcdcHmzEY,Session,Linkin Park,Meteora (Bonus Edition),144733,48,
67i8fR6kdjaVzSPrqexHAC,Step Up - Hybrid Theory EP,Linkin Park,Hybrid Theory (20th Anniversary Edition),234642,43,
6015DaBwB49tXWlmNPo64w,Valentine's Day,Linkin Park,Minutes to Midnight (Deluxe Edition),196884,44,
2n1jBz26dVBtSbMvJNjGsu,Until It's Gone,Linkin Park,The Hunting Party,233240,59,
39sUeHQoIGY6BEIcgTMRXW,Izzo / In the End,"JAY-Z, Linkin Park",Collision Course,164866,55,
50xYqUTVCvoqRLuyWFuG3r,Enth E Nd (Kutmasta Kurt Reanimation) [feat. Motion Man],"Linkin Park, Motion Man",Reanimation,243613,44,
00KfIFi2TpAaQGPbRbFbKJ,IN MY REMAINS,Linkin Park,LIVING THINGS,200693,68,
1NxBqfjNr4bFHQbZ65foDt,In Pieces,Linkin Park,Minutes to Midnight (Deluxe Edition),217987,45,
5dhnFKVNR2x9BYqQ6FPpQh,Burning in the Skies,Linkin Park,A Thousand Suns,253160,57,
4pnFRnCOfaETea25g0YSvG,Jigga What / Faint,"JAY-Z, Linkin Park",Collision Course,211173,63,
0h4BEv6xL4dkHhdUP3GaOU,And One - Hybrid Theory EP,Linkin Park,Hybrid Theory (20th Anniversary Edition),269882,45,
3cQGb2POE359G9WH81bF60,I'LL BE GONE,Linkin Park,LIVING THINGS,211093,59,
4DLH2fr8pWX1iksMrk47Kw,Big Pimpin' / Papercut,"JAY-Z, Linkin Park",Collision Course,156320,56,
7nAfXgeHfDO50upcOjJOaq,Talking to Myself,Linkin Park,One More Light,231306,61,
77QlaJaOiR6cAl8zeF0evm,Carousel - Hybrid Theory EP,Linkin Park,Hybrid Theory (20th Anniversary Edition),182653,45,
1GHqc0e7PQ6aEyGlvfSJzS,Where'd You Go (feat. Holly Brook & Jonah Matranga),"Fort Minor, Holly Brook, Jonah Matranga",The Rising Tied (Deluxe Edition),231866,65,
6Xb5klX1nnSUxoh2AyZd54,It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),"X-Ecutioners, Mike Shinoda, Mr. Hahn",Built From Scratch,248573,27,
5QmKaHxSpJD9HjlSOpDDAW,Rolling in the Deep - Live,Linkin Park,"iTunes Festival - London, 2011",264863,37,
67d8cwIbmNlqROqSzDFEVP,Blackbirds,Piano Project,Piano Renditions of Linkin Park,182301,18,
08DZB5UIoQy4WpUdOevBFZ,In the End - Live,Linkin Park,Road to Revolution (Live at Milton Keynes),230413,37,
7pEVSKee47uKeqtazaiCnO,"Numb - Live in New York, 2008",Linkin Park,Meteora Live Around the World,221693,35,
3dJj6o9o1fRgrojWjailuz,Nobody Can Save Me,Linkin Park,One More Light,225546,58,
1ItQbzjqFKNFtLwXdk3c0R,Out of Time (with Chester Bennington),"Stone Temple Pilots, Chester Bennington",High Rise (with Chester Bennington),184460,18,
7ccC26pJ3aDG81sS4FwdXF,Remember the Name (feat. Styles of Beyond),"Fort Minor, Styles Of Beyond",The Rising Tied (Deluxe Edition),230493,70,
3NBT6Ixgs0D8jOJCx4U1Nn,Iridescent (Version 2),Linkin Park,Iridescent,239706,39,
6iWJiewZOM7ft4PsVMrN87,Crawl Back In,Dead By Sunrise,Out Of Ashes (Deluxe Edition),182746,27,
737yse38y2hsWQeNRrLaMY,Not Alone,Linkin Park,Not Alone,252840,49,
